epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8062,1.62293,1.90836,1.97917,0.5751,0.39732,0.44109,0.1581,1.84774,2.88437,2.5017,0.00033121,0.00033121,0.0672102
2,67.5824,1.60954,1.84159,1.9514,0.45622,0.412,0.35756,0.1526,2.01102,3.67438,2.34716,0.000664503,0.000664503,0.0342102
3,95.6716,1.628,1.84321,1.98361,0.58868,0.5,0.51243,0.18498,2.07808,2.29232,2.37051,0.000997631,0.000997631,0.00120994
4,123.47,1.60185,1.90554,1.95555,0.66938,0.66071,0.70448,0.35303,1.61032,2.32414,1.94247,0.000999445,0.000999445,0.000999445
5,151.37,1.53522,1.72364,1.87245,0.72627,0.687,0.76361,0.38115,1.55135,1.54997,1.80627,0.000999013,0.000999013,0.000999013
6,179.056,1.45611,1.67531,1.82422,0.75608,0.70536,0.78842,0.46874,1.29704,1.52595,1.6269,0.000998459,0.000998459,0.000998459
7,206.961,1.46014,1.67406,1.8146,0.78789,0.74107,0.80567,0.43961,1.48589,1.63909,1.78698,0.000997781,0.000997781,0.000997781
8,234.668,1.47322,1.65907,1.82597,0.84625,0.62054,0.73213,0.44824,1.41009,1.5589,1.79141,0.000996981,0.000996981,0.000996981
9,262.383,1.42092,1.64408,1.77588,0.78917,0.80804,0.83608,0.44537,1.5012,1.28006,1.75391,0.000996058,0.000996058,0.000996058
10,290.388,1.41567,1.60174,1.76256,0.82944,0.70536,0.82561,0.4961,1.3894,1.26491,1.67834,0.000995012,0.000995012,0.000995012
11,318.448,1.37944,1.55878,1.73606,0.82194,0.73661,0.83215,0.47306,1.53805,1.34801,1.86964,0.000993845,0.000993845,0.000993845
12,346.348,1.36174,1.54205,1.72749,0.88991,0.75785,0.85774,0.48566,1.40805,1.24959,1.66168,0.000992555,0.000992555,0.000992555
13,374.82,1.3328,1.53249,1.70514,0.86644,0.79464,0.86864,0.50212,1.42479,1.42563,1.72362,0.000991145,0.000991145,0.000991145
14,403.382,1.34306,1.52227,1.72668,0.93373,0.74107,0.86992,0.46491,1.6336,1.19685,1.88656,0.000989612,0.000989612,0.000989612
15,431.341,1.30178,1.4382,1.67337,0.81198,0.8483,0.87663,0.54273,1.36721,1.10824,1.66871,0.00098796,0.00098796,0.00098796
16,459.286,1.32419,1.5107,1.72537,0.86762,0.76073,0.88392,0.52287,1.40988,1.07272,1.68396,0.000986186,0.000986186,0.000986186
17,486.876,1.30713,1.49785,1.69309,0.82947,0.80345,0.8686,0.51147,1.32585,1.22672,1.63431,0.000984293,0.000984293,0.000984293
18,514.577,1.28742,1.46921,1.67565,0.89727,0.78571,0.88784,0.47014,1.61953,1.12785,1.8546,0.00098228,0.00098228,0.00098228
19,542.088,1.26465,1.44341,1.65448,0.86361,0.79146,0.87538,0.51495,1.3114,1.17843,1.60784,0.000980149,0.000980149,0.000980149
20,569.831,1.28237,1.39117,1.68459,0.91359,0.73661,0.86924,0.55946,1.22559,1.03762,1.54567,0.000977899,0.000977899,0.000977899
21,597.615,1.27083,1.47673,1.69586,0.91396,0.78125,0.88862,0.51835,1.43089,1.06146,1.6949,0.000975531,0.000975531,0.000975531
22,625.136,1.25371,1.4615,1.6494,0.86127,0.69196,0.83012,0.54569,1.23184,1.22077,1.53481,0.000973045,0.000973045,0.000973045
23,652.766,1.2609,1.41883,1.65337,0.8878,0.77712,0.88446,0.53508,1.31724,1.19722,1.61528,0.000970443,0.000970443,0.000970443
24,680.35,1.25352,1.40659,1.67004,0.88723,0.80786,0.90496,0.53566,1.48448,1.12624,1.79472,0.000967725,0.000967725,0.000967725
25,707.956,1.24486,1.40458,1.64735,0.82798,0.85952,0.91536,0.60101,1.20142,1.1464,1.54871,0.000964892,0.000964892,0.000964892
